# Title: Crypto Firewall (Splunk),,,,,,,
# Updated: 2026-01-05T12:03:18Z,,,,,,,
# Expires: 1 days (update frequency),,,,,,,
# Homepage: https://github.com/chartingshow/crypto-firewall/,,,,,,,
# Contribute: https://github.com/chartingshow/crypto-firewall/issues,,,,,,,
# License: GPL-3.0 license,,,,,,,
# Source: https://github.com/chartingshow/crypto-firewall/blob/master/src/blacklists/splunk.csv, stamparm/ipsum, binarydefense, Proofpoint emergingthreats, greensnow, threatview, myip.ms, firehol
ip,message,updated,,,,,
107.173.30.188,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.174.131.204,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.175.31.178,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.180.41.46,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.182.225.142,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.189.28.92,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
107.191.48.137,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
108.170.60.190,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
108.174.50.172,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
108.181.92.71,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
108.59.7.43,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
108.61.186.55,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
108.61.23.192,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
109.106.69.138,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
109.107.174.128,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
109.12.111.14,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
109.172.45.79,Crypto Firewall Detected a Malicious IP Address,2026-01-05T12:03:18Z,,,,,
